CEN ATL MISS PAC *
[coT Ks [ mt [ Ne [ NM [ NDT OK [ sD [ Tx JT wy | | FLYway| Flyway] FLyway| FLyway| [_Us._]
"1999 0 0 0 0 0 0 0 0 1,170 0 1,170 0 0 0 1,170"
"2000 0 0 0 0 0 0 0 0 2,881 0 2,881 252 0 370 3,503"
"2001 0 0 0 0 0 0 0 0 4,793 0 4,793 267 568 0 5,628"
"2002 0 0 0 0 0 0 0 0 5,442 0 5,442 1,871 0 0 7,313"
"2003 ' 0 0 0 0 0 0 0 0 7,284 0 7,284 714 636 0 8,634"
"2004 ' 0 0 0 0 0 0 0 0 11,872 0 11,872 1,916 1,185 0 14,973"
"2005 ' 0 0 0 0 0 0 0 0 3,057 0 3,057 1,056 4,285 0 8,398"
"2006 ' 0 0 0 0 0 0 0 0 2,492 0 2,492 1,394 6,225 0 10,111"
"2007 ' 0 0 0 0 0 0 0 0 8,142 0 8,142 3,740 3,531 0 15,413"
"2008 ' 0 0 0 0 0 0 0 0 1,373 0 1,373 1,477 5,879 0 8,729"
"2009 ' 0 0 0 0 0 0 0 0 1,759 0 1,759 8,112 15,231 0 25,102"
"2010' 0 0 0 0 0 0 0 0 6,975 0 6,975 6,495 4,015 58 17,543"
"2011' 0 0 0 0 0 0 0 0 1,066 0 1,066 5,626 3,625 0 10,317"
"2012' 0 0 0 0 0 0 0 0 1,415 0 1,415 5,223 937 0 7,575"
"2013"" 0 0 0 0 0 0 0 0 2,529 0 2,529 7,369 2,324 0 12,222"
"2014' 0 0 0 0 0 0 0 0 968 0 968 3,247 552 0 4,767"
"2015 ' 0 0 0 0 0 0 0 0 2,872 0 2,872 8,479 2,771 0 14,122"
"2016 ' 0 0 0 0 0 0 0 0 2,429 0 2,429 5,496 1,380 0 9,305"
"2017 ' 0 0 0 0 0 0 0 0 3,422 0 3,422 2,879 5,043 0 11,344"
"2018 ' 0 0 0 0 0 0 0 0 524 0 524 6,443 1,309 0 8,276"
"2019 ' 0 0 0 0 0 0 0 0 1,546 0 1,546 7,158 5,817 0 14,521"
"2020 ' 0 0 0 0 0 0 0 0 1,731 0 1,731 4,203 8,993 0 14,927"
"2021 ' 0 0 0 0 0 0 0 0 1,459 0 1,459 4,112 4,500 0 10,071"
"2022 ' 0 0 0 0 0 0 0 0 1,626 0 1,626 5,559 3,906 0 11,091"
AVERAGE:
"1999-2022 0 0 0 0 0 0 0 0 3,284 0 3,284 3,879 3,446 18 10,627"
% CHANGE FROM:
Prev. Year 11% 11% 35% -13% 10%
Average -50% -50% 43% 13% 4%
