CEN ATL Miss PAC,,,,,
[co KS NEN ND OK SX wy Ts],,,,,
"1999 1,791 4,578 914 6,017 1,303 22,899 5,462 14,250 63,389 697 121,300 17,350 201,054 = 192,837 532,541",,,,,
"2000 2,030 1,789 771 3,221 1,548 11,339 3,530 5,630 71,761 569 102,188 17,950 196,306 131,756 448,200",,,,,
"2001 1,414 3,401 240 4,356 2,426 17,957 1,394 16,302 85,581 145 133,216 21,468 235,899 148,577 539,160",,,,,
"2002 2,067 3,783 551 4,499 1,538 19,464 3,873 9,449 41,357 1,045 87,626 14,688 126,468 140,152 368,934",,,,,
"20031 4,732 4,258 754 5618 1,934 19,290 4,838 9,759 36,593 493 88,269 12,748 206,977 157,744 465,738",,,,,
"20041 2,781 5,298 188 2,424 1,972 22,404 7,781 9,331 51,444 858 104,481 9,865 158,905 206,157 479,408",,,,,
"20051 3,972 4,277 399 3,617 1,150 20,208 8,688 8,974 86,368 163 137,816 18,672 195,236 189,925 541,649",,,,,
"2006 ' 3,389 6,254 749 5,353 2,985 16,080 6,720 7,285 55,443 135 104,393 12,496 225,100 301,358 643,347",,,,,
"2007"" 5,780 4,210 1,035 7,053 1,718 19,987 10,476 10,455 80,465 61 141,240 15,045 289,071 369,431 814,787",,,,,
"2008 ' 3,561 2,400 392 4,068 1,278 12,066 7,632 4,834 28,839 144 65,214 11,415 251,531 259,185 587,345",,,,,
"20091 2,371 7,674 2,058 4,124 566 39,909 7,573 11,888 62,213 299 138,675 19,202 283,039 202,584 643,500",,,,,
"2010"" 1,889 9,321 785 5,842 1,237 21,743 8,472 11,957 78,354 555 140,155 29,651 475,080 289,755 934,641",,,,,
"20111 730 8,262 2,192 9,904 642 28,012 9,545 8,736 106,360 364 174,747 32,087 375,091 334,732 916,657",,,,,
"2012' 3,396 2,706 1,120 3,057 846 27,626 10,363 10,189 95,065 583 154,951 33,027 390,664 373,731 952,373",,,,,
"2013! 11,155 12,945 3,721 6,259 1,847 30,227 17,086 15,795 74,490 0 173,525 27,862 355,369 265,103 821,859",,,,,
"2014! 1,150 4,592 2,417 1,751 2,392 29,866 6,568 8,032 85,570 194 142,532 39,505 294,147 228,570 704,754",,,,,
"2015"" 3,790 4,524 1,114 1,503 364 23,702 6,247 13,529 29,719 332 84,824 22,748 += 155,091 281,339 544,002",,,,,
"2016"" 311 3,290 1,923 2,262 1,283 26,290 6,373 5,203 59,755 144 106,834 30,290 193,823 172,988 503,935",,,,,
"2017"" 723 7,468 84 2,779 2,228 19,645 4,628 7,945 64,585 411 110,496 26,307 237,114 211,559 585,476",,,,,
"2018 ' 467 4,474 2,008 3,420 1,930 29,485 2,644 8,473 34,750 307 87,958 20,642 127,149 198,581 434,330",,,,,
"2019 1,064 8,213 1,357 5,202 1,511 29,381 9,791 15,919 56,905 444 129,787 10,103 141,852 168,802 450,544",,,,,
"2020 ' 1,407 13,867 2,254 5,594 1,149 30,230 15,822 9,193 77,503 366 157,386 17,356 169,584 224,066 568,393",,,,,
"2021"" 1,096 4,773 100 2,035 534 11,775 7,032 4,966 39,515 181 72,007 19,714 135,760 242,999 470,480",,,,,
"2022"" 1,056 2,282 601 1,399 609 23,707 0 5,965 56,601 569 92,790 16,895 110,989 202,855 423,528",,,,,
AVERAGE:,,,,,
"1999-2022 2,588 5,610 1,155 4,223 1,458 23,054 7,189 9,752 63,443 377 118,850 20,712 230,471 ~-228,949 598,983",,,,,
% CHANGE FROM:,,,,,
Average 59%,-59%,-48%,-67%,-58% 3% -100%,-39% 11% 51% -22% 18% 52% 11% -29%
""" Preliminary FILE: S:\CF_D\projects\DATABOOKIMONITORING\HARVEST DATA\HIP\IDABHARVHIP.XLS 01/28/24",,,,,
