CEN ATL MISS PAC
[cost NEN DOK Sy] es]
"1999 0 0 0 0 0 0 0 0 7,607 0 7,607 5,648 34,349 0 47,604"
"2000 0 0 0 0 0 0 0 0 12,047 0 12,047 9,074 27,897 0 49,018"
"2001 0 0 0 0 0 0 0 0 14,378 0 14,378 15,111 32,010 0 61,499"
"2002 0 0 0 0 0 0 0 0 7,401 0 7,401 13,041 23,469 0 43,911"
"2003 ' 0 0 0 0 0 0 0 0 10,752 0 10,752 10,361 42,013 0 63,126"
"2004 ' 0 0 0 0 0 0 0 0 14,133 0 14,133 15,292 34,835 0 64,260"
"2005 ' 0 0 0 0 0 0 0 0 14,904 0 14,904 10,641 26,333 0 51,878"
"2006 ' 0 0 0 0 0 0 0 0 9,967 0 9,967 13,800 42,706 0 66,473"
"2007 ' 0 0 0 0 0 0 0 0 8,861 0 8,861 12,862 51,634 0 73,357"
"2008 ' 0 0 0 0 0 0 0 0 12,163 0 12,163 14,990 67,785 0 94,938"
"2009 ' 0 0 0 0 0 0 0 0 10,992 0 10,992 19,135 51,860 0 81,987"
"2010' 0 0 0 0 0 0 0 0 10,463 0 10,463 14,591 55,060 0 80,114"
"2011"" 0 0 0 0 0 0 0 0 13,062 0 13,062 13,821 40,557 0 67,440"
"2012"" 0 0 0 0 0 0 0 0 12,732 0 12,732 7,939 40,733 0 61,404"
"2013"" 0 0 0 0 0 0 0 0 3,219 0 3,219 10,183 36,375 0 49,727"
"2014"" 0 0 0 0 0 0 0 0 5,034 0 5,034 7,569 29,300 0 41,903"
"2015"" 0 0 0 0 81 0 0 0 6,187 0 6,268 9,611 13,702 0 29,581"
"2016"" 0 0 0 0 0 0 0 0 4,372 0 4,372 8,476 10,899 0 23,747"
"2017"" 0 0 0 0 0 0 0 0 4,919 0 4,919 7,595 9,149 0 21,663"
"2018"" 0 0 0 0 0 0 0 oO 1,921 0 1,921 11,160 11,259 0 24,340"
"2019 0 0 0 0 0 0 0 0 4,215 0 4,215 8,738 9,583 0 22,536"
"2020 ' 0 0 0 0 0 0 0 0 8,270 0 8,270 9,594 11,619 0 29,482"
"2021 ' 0 0 0 0 0 0 0 0 3,845 0 3,845 14,809 8,038 0 26,693"
"2022 ' 0 0 0 0 0 0 0 0 1,626 0 1,626 8,157 5,866 0 15,649"
AVERAGE:
"1999-2022 0 0 0 0 3 0 0 0 8,461 0 8465 11,340 29,876 0 49,680"
Prev. Year -58% -58% -45% -27% -41%
Average -100% -81% -81% -28% -80% 69%
"""Preliminary FILE: S:\CF_D\projects\DATABOOK\MONITORING\HARVEST DATAIHIP\DABHARVHIP.XLS"
