Lac | aR Tom TN fT aT ks T ky T tA Tom Twn | ms [ mo | NE T OW | OK [ N |,[T wi I Cus)
"2003 | 14,300 4,600 12,200 6,000 4,200 600 2,000 7,400 159,000 48,700 3,400 8,000 900 10,300 15,400 1,200 6,000 65,600 369,800 152,300 522,100",
"2004 ' 1,000 20,100 3,500 5,300 8,800 200 1,300 14,100 147,000 67,000 3,600 3,700 100 18,200 2,800 1,700 6,600 61,100 366,100 135,400 501,500",
"2005 ' 200 9,200 5,300 7,400 2,200 0 2,900 16,700 151,200 60,200 0 5,000 300 15,800 0 500 6,300 73,100 356,300 164,200 520,500",
"2006 ' 400 6,800 8900 4,400 4,300 300 900 10,900 155,300 60,200 3,900 3,800 700 =9,800 600 800 0 72,400 344,400 144,200 488,600",
"2007 ' 700 9,300 7,600 3,300 4,600 3,100 3,400 17,200 138,900 62,800 1,800 900 13,800 9,300 0 400 2,100 79,100 358,500 145,000 503,500",
"2008 ' 3,099 24,179 6,098 2,377 4,332 2,833 9,369 16,222 156,012 37,899 1,818 7,306 4,408 10,310 8,352 397 9,350 65,433 369,792 169,012 538,804",
"2009 ' 6,539 8,077 6,208 3,984 1,781 31 29 20,772 146,177 38,267 3,722 1,179 72 = (7,249 81 1,025 0 77,118 322,310 177,982 500,292",
"2010! 1,539 207 1,220 3,941 = 7,431 692 6,732 28,224 159,240 55,423 2,960 6,039 762 4,306 17,613 4,895 25,473 65,744 392,441 146,705 539,146",
"2011! 7,473 1,025 8824 4,139 1,560 29 181 18,430 143,986 76,937 531 1,123 0 10,243 170 5,446 1,413 69,039 350,548 155,961 506,509",
"2012! 4860 3,181 3482 1,492 4356 5,135 324 11,028 121,418 40,366 196 2,010 4,486 2,585 3,422 739 9,795 58,035 276,909 137,796 414,705",
"2013 ' 1,518 349 3,442 1,581 8308 1,082 1,917 2,540 123,682 74,665 2,552 8,490 644 8,569 206 = 1,303 5,187 60,041 306,076 136,680 442,757",
"2014! 436 390 = 2,644 903 957 992 49 5,844 87,522 47,527 5,446 2,237 1,074 4,544 100 364 182 66,433 227,643 119,717 347,360",
"2015 ' 5,072 4832 1,257 1,106 2,509 2,762 2,607 12,277 124,717 47,607 2,271 644 0 7,547 = 1,831 0 593 66,554 284,184 115,494 399,677",
"2016 ' 1,446 13,415 13,158 1,302 1,770 418 1,517 4,551 107,126 45,990 1,279 6,249 574 8,230 0 9,757 28,352 55,073 300,206 96,115 396,322",
"2017' 2,184 4,747 317 2,852 = 2,434 73 829 14,472 122,793 45,667 2,422 1,331 96 4,995 0 2,632 12,107 52,420 272,373 115,355 387,728",
"2018 ' 501 7,734 82 209 0 159 279 11,149 135,774 41,521 368 234 0 823 572 612 0 45,941 245,958 99,176 345,134",
"2019' 348 14,351 11,338 1,059 4,467 0 227 6,041 86,066 29,259 326 752 0 2,357 433 11,307 1,329 46,955 216,618 101,163 317,781",
"2020! 177 8,256 = 55,362 3,226 411 106 = 1,458 7,418 82,931 49,742 2,592 2,619 0 5,249 2,934 141 5,727 82,291 260,640 142,834 403,474",
"2021 ' 7,850 1,782 1,537 2,148 4,141 47 420 12,682 93,724 47,830 3,482 12,878 0 9,260 165 373 2,052 72,700 273,072 153,580 426,652",
"2022 ' 365 2,199 2,257 1,429 450 102 6,127 8,194 55,795 54,668 852 2,516 0 3,059 0 675 5,723 45,167 189,576 94,015 283,591",
AVERAGE:,
"2003-2022 3,000 7,236 5,236 2,907 3,450 933 2,128 12,307 124,918 51,613 2,176 3,850 1,396 7,636 2,734 2,213 6,414 64,012 304,172 135,134 439,307",
